CustomerID,LastPurchase,Frequency,Monetary,AvgAmount,Recency,AvgInterval,Last3MonthsPurchases,ChurnFlag
C0001,2025-10-08,5,38800.0,7760.0,24,47.0,2.0,0
C0002,2025-05-24,4,28500.0,7125.0,161,46.666666666666664,0.0,1
C0003,2025-10-11,6,75100.0,12516.666666666666,21,55.8,2.0,0
C0004,2025-10-19,10,101300.0,10130.0,13,30.77777777777778,3.0,0
C0005,2025-10-22,5,60700.0,12140.0,10,39.25,2.0,0
C0006,2025-09-14,9,81400.0,9044.444444444445,48,30.875,3.0,0
C0007,2025-09-23,5,52800.0,10560.0,39,64.0,2.0,0
C0008,2025-09-04,8,109200.0,13650.0,58,24.285714285714285,2.0,0
C0009,2025-07-24,4,32100.0,8025.0,100,61.666666666666664,0.0,1
C0010,2025-10-20,7,63000.0,9000.0,12,48.0,4.0,0
C0011,2025-10-19,2,27000.0,13500.0,13,142.0,1.0,0
C0012,2025-10-16,6,42500.0,7083.333333333333,16,38.8,4.0,0
C0013,2025-10-20,4,48100.0,12025.0,12,80.0,1.0,0
C0014,2025-10-06,7,43500.0,6214.285714285715,26,38.666666666666664,2.0,0
C0015,2025-09-13,4,50600.0,12650.0,49,47.0,2.0,0
C0016,2025-10-24,7,85200.0,12171.42857142857,8,47.166666666666664,2.0,0
C0017,2025-10-25,5,38600.0,7720.0,7,62.0,2.0,0
C0018,2025-05-09,3,26400.0,8800.0,176,50.5,0.0,1
C0019,2025-10-29,7,72600.0,10371.42857142857,3,24.0,3.0,0
C0020,2025-08-21,2,33100.0,16550.0,72,112.0,1.0,0
C0021,2025-08-17,5,52700.0,10540.0,76,37.75,1.0,0
C0022,2025-07-21,6,79300.0,13216.666666666666,103,27.8,0.0,1
C0023,2025-10-29,5,30000.0,6000.0,3,63.25,3.0,0
C0024,2025-10-19,7,68500.0,9785.714285714286,13,28.833333333333332,3.0,0
C0025,2025-10-26,8,107800.0,13475.0,6,31.571428571428573,2.0,0
C0026,2025-08-12,5,38600.0,7720.0,81,51.5,1.0,0
