Feature,Importance
Frequency,2652
AvgInterval,2626
Recency,864
Monetary,505
AvgAmount,249
Last3MonthsPurchases,194
LastPurchase_2025-07-31,17
LastPurchase_2025-08-01,6
LastPurchase_2025-07-26,6
LastPurchase_2025-07-27,5
LastPurchase_2025-10-23,4
LastPurchase_2025-07-30,4
LastPurchase_2025-08-02,3
LastPurchase_2025-09-05,3
LastPurchase_2025-08-13,3
LastPurchase_2025-07-29,3
LastPurchase_2025-08-03,3
LastPurchase_2025-08-18,2
LastPurchase_2025-07-25,2
LastPurchase_2025-07-24,2
LastPurchase_2025-08-19,2
LastPurchase_2025-10-03,1
LastPurchase_2025-10-26,1
LastPurchase_2025-08-12,1
LastPurchase_2025-08-04,1
LastPurchase_2025-09-20,1
LastPurchase_2025-08-14,1
LastPurchase_2025-10-29,1
LastPurchase_2025-09-19,1
LastPurchase_2025-06-19,1
LastPurchase_2025-10-28,1
LastPurchase_2025-10-24,1
LastPurchase_2025-08-15,1
LastPurchase_2025-06-26,1
LastPurchase_2025-10-09,1
LastPurchase_2025-07-18,1
LastPurchase_2025-10-11,1
LastPurchase_2025-07-17,1
LastPurchase_2025-07-16,1
LastPurchase_2025-09-14,1
LastPurchase_2025-09-02,1
LastPurchase_2025-08-20,1
LastPurchase_2025-08-21,1
LastPurchase_2025-10-20,1
CustomerID_C3511,0
CustomerID_C3512,0
CustomerID_C3507,0
CustomerID_C3509,0
CustomerID_C3508,0
CustomerID_C3510,0
CustomerID_C3513,0
CustomerID_C3609,0
CustomerID_C3514,0
CustomerID_C3515,0
CustomerID_C3529,0
CustomerID_C3528,0
CustomerID_C3527,0
CustomerID_C3526,0
CustomerID_C3525,0
CustomerID_C3524,0
CustomerID_C3523,0
CustomerID_C3522,0
CustomerID_C3521,0
CustomerID_C3520,0
CustomerID_C3519,0
CustomerID_C3518,0
CustomerID_C3517,0
CustomerID_C3505,0
CustomerID_C3516,0
CustomerID_C3506,0
CustomerID_C3499,0
CustomerID_C3504,0
CustomerID_C3467,0
CustomerID_C3477,0
CustomerID_C3476,0
CustomerID_C3475,0
CustomerID_C3474,0
CustomerID_C3473,0
CustomerID_C3472,0
CustomerID_C3471,0
CustomerID_C3470,0
CustomerID_C3469,0
CustomerID_C3468,0
CustomerID_C3466,0
CustomerID_C3503,0
CustomerID_C3465,0
CustomerID_C3464,0
CustomerID_C3463,0
CustomerID_C3462,0
CustomerID_C3461,0
CustomerID_C3460,0
CustomerID_C3459,0
CustomerID_C3458,0
CustomerID_C3457,0
CustomerID_C3456,0
CustomerID_C3478,0
CustomerID_C3479,0
CustomerID_C3480,0
CustomerID_C3481,0
CustomerID_C3502,0
